,url,product_name,brands,countries,image_url,image_small_url,energy-kcal_100g,fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,categories_tags
555253,http://world-en.openfoodfacts.org/product/20336837/rein-pflanzlich-corny-filets-toppo,Rein Pflanzlich Corny Filets,Toppo,Polska,https://images.openfoodfacts.org/images/products/20336837/front_pl.13.400.jpg,https://images.openfoodfacts.org/images/products/20336837/front_pl.13.200.jpg,207.0,7.1,29.0,4.8,4.7,1.2,pl:pyzy
555327,http://world-en.openfoodfacts.org/product/20340599/czekolada-mleczna-z-nadzieniem-26-o-smaku-karmelowym-z-kawa%C5%82kami-wafli-i-nadzieniem-22-karmelowym-s%C5%82onym-lidl,Czekolada mleczna z nadzieniem (26%) o smaku karmelowym z kawałkami wafli i nadzieniem (22%) karmelowym słonym,Lidl,Poland,https://images.openfoodfacts.org/images/products/20340599/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/20340599/front_pl.4.200.jpg,520.0,30.6,54.5,48.9,5.9,0.57,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:bars,en:chocolate-candies,en:chocolate-bars,en:caramel-chocolate-cookie-bars"
555556,http://world-en.openfoodfacts.org/product/20350437/s%C5%82onecznik-%C5%82uskany-alesto,Słonecznik łuskany,Alesto,Polska,https://images.openfoodfacts.org/images/products/20350437/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/20350437/front_pl.4.200.jpg,645.0,53.4,11.1,3.6,20.4,0.0,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:seeds"
556255,http://world-en.openfoodfacts.org/product/20382421/twarog-w%C4%99dzony-pilos,Twaróg wędzony,Pilos,Polska,https://images.openfoodfacts.org/images/products/20382421/front_pl.6.400.jpg,https://images.openfoodfacts.org/images/products/20382421/front_pl.6.200.jpg,217.0,17.0,3.0,3.0,13.0,1.5,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses"
557042,http://world-en.openfoodfacts.org/product/20411640/napoj-gazowany-o-smaku-grejpfrutowym-saguaro,Napój gazowany o smaku grejpfrutowym.,Saguaro,Polska,https://images.openfoodfacts.org/images/products/20411640/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/20411640/front_pl.4.200.jpg,90.0,0.0,5.2,5.2,0.0,0.0,pl:napoj-gazowany
557043,http://world-en.openfoodfacts.org/product/20411671/filety-%C5%9Bledziowe-w-sosie-%C5%9Bmietanowym-nautica,Filety śledziowe w sosie śmietanowym,Nautica,Polska,https://images.openfoodfacts.org/images/products/20411671/front_pl.12.400.jpg,https://images.openfoodfacts.org/images/products/20411671/front_pl.12.200.jpg,307.0,27.6,6.8,6.8,7.4,1.8,"en:seafood,en:fishes"
557287,http://world-en.openfoodfacts.org/product/20420635/kostka-roso%C5%82owa-roso%C5%82-drobiowy-kania,Kostka rosołowa - rosół drobiowy,Kania,Polska,https://images.openfoodfacts.org/images/products/20420635/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/20420635/front_pl.4.200.jpg,5.0,0.5,0.5,0.5,0.5,0.99,"en:groceries,en:condiments"
557288,http://world-en.openfoodfacts.org/product/20420642/kostka-roso%C5%82owa-roso%C5%82-wo%C5%82owy-lidl,Kostka rosołowa - rosół wołowy,Lidl,Polska,https://images.openfoodfacts.org/images/products/20420642/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/20420642/front_pl.4.200.jpg,5.0,0.5,0.5,0.5,0.5,1.0,"en:groceries,en:condiments"
557953,http://world-en.openfoodfacts.org/product/2044498582073/%C5%9Bliwki-suszone-bez-pestek-bakalike,Śliwki suszone bez pestek,"BakaLike,Konpack",Polska,https://images.openfoodfacts.org/images/products/204/449/858/2073/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/204/449/858/2073/front_pl.4.200.jpg,282.0,1.2,60.0,20.0,3.5,0.03,pl:śliwki-suszone
558033,http://world-en.openfoodfacts.org/product/20448622/pierogi-s-serem-virtu-production-sp-z-o-o,Pierogi s serem,Virtu Production sp. Z o.o.,Polska,https://images.openfoodfacts.org/images/products/20448622/front_pl.12.400.jpg,https://images.openfoodfacts.org/images/products/20448622/front_pl.12.200.jpg,187.0,2.2,32.1,8.8,8.8,0.3,pl:pierogi
